Year,GDP ( Billions in USD)
2023,446.349
2022,460.751
2021,416.26
2020,373.9
2019,351.24
2018,321.38
2017,293.75
2016,265.24
2015,195.08
2014,172.89
2013,149.99
2012,133.36
2011,128.64
2010,115.28
2009,102.48
2008,91.63
2007,79.61
2006,71.82
2005,69.44
2004,65.11
2003,60.16
2002,54.72
2001,53.99
2000,53.37
1999,51.27
1998,49.98
1997,48.24
1996,46.44
1995,37.94
1994,33.77
1993,33.17
1992,31.71
1991,30.96
1990,31.6
1989,28.78
1988,26.58
1987,24.3
1986,21.77
1985,22.28
1984,18.92
1983,17.61
1982,18.53
1981,20.25
1980,18.14
1979,15.57
1978,13.28
1977,9.65
1976,10.12
1975,19.45
1974,12.51
1973,8.09
1972,6.29
